ID,Country,Total Hours,Gender Hours,Male,Divorce Rate,Tax Rate
1,Austria,1132.3,845.3,0,5.9,0.314
2,Belgium,941.1,683.5,0,6.22,0.430
3,Denmark,1208,1031.5,0,6.75,0.427
4,Finland,1182.5,1025.5,0,6.8,0.329
5,France,982,765,0,4.7,0.295
6,Germany,965.9,728.1,0,4.92,0.434
7,Greece,1184.7,804.4,0,2.02,0.165
8,Ireland,1117.8,746.2,0,2,0.230
9,Italy,1002.7,654.6,0,1.6,0.271
10,Luxembourg,1042.1,696,0,5.05,0.273
11,Netherlands,1034,648.2,0,5.25,0.305
12,Norway,1133.5,896.6,0,6.1,0.314
13,Portugal,1204.8,959.8,0,3.5,0.213
14,Spain,993.6,650.4,0,2.08,0.201
15,Sweden,1220.5,1053.9,0,6.72,0.324
16,Switzerland,1322.8,951.9,0,4.65,0.246
17,UK,1226.6,906.6,0,6.29,0.255
18,United States,1360.4,1121.3,0,9.25,0.248
